source,target,previous_speaker,responding_speaker,previous_quote,response_quote,response_sentence_count,token_gap
Jo,Meg,Jo,Meg," Christmas wo n't be Christmas without any presents , ", It 's so dreadful to be poor ! ,1,9
Amy,Meg,Meg,Amy, It 's so dreadful to be poor ! ," I do n't think it 's fair for some girls to have plenty of pretty things , and other girls nothing at all , ",1,11
Amy,Beth,Amy,Beth," I do n't think it 's fair for some girls to have plenty of pretty things , and other girls nothing at all , "," We 've got Father and Mother , and each other , ",1,10
Beth,Jo,Beth,Jo," We 've got Father and Mother , and each other , "," We have n't got Father , and shall not have him for a long time . ",1,32
Jo,Meg,Jo,Meg," perhaps never , "," You know the reason Mother proposed not having any presents this Christmas was because it is going to be a hard winter for everyone ; and she thinks we ought not to spend money for pleasure , when our men are suffering so in the army . We ca n't do much , but we can make our little sacrifices , and ought to do it gladly . But I am afraid I do n't . ",3,32
Jo,Meg,Meg,Jo," You know the reason Mother proposed not having any presents this Christmas was because it is going to be a hard winter for everyone ; and she thinks we ought not to spend money for pleasure , when our men are suffering so in the army . We ca n't do much , but we can make our little sacrifices , and ought to do it gladly . But I am afraid I do n't . "," But I do n't think the little we should spend would do any go od . We 've each got a dollar , and the army would n't be much helped by our giving that . I agree not to expect anything from Mother or you , but I do want to buy Undine and Sintram for myself . I 've wanted it so long , ",4,19
Beth,Jo,Jo,Beth," But I do n't think the little we should spend would do any go od . We 've each got a dollar , and the army would n't be much helped by our giving that . I agree not to expect anything from Mother or you , but I do want to buy Undine and Sintram for myself . I 've wanted it so long , "," I planned to spend mine in new music , ",1,9
Amy,Beth,Beth,Amy," I planned to spend mine in new music , "," I shall get a nice box of Faber 's drawing pencils . I really need them , ",2,21
Amy,Jo,Amy,Jo," I shall get a nice box of Faber 's drawing pencils . I really need them , "," Mother did n't say anything about our mone y , and she wo n't wish us to give up everything . Let 's each buy what we want , and have a little fun . I 'm sure we work hard enough to earn it , ",3,5
Jo,Meg,Jo,Meg," Mother did n't say anything about our mone y , and she wo n't wish us to give up everything . Let 's each buy what we want , and have a little fun . I 'm sure we work hard enough to earn it , "," I know I do -- teaching those tiresome childre n nearly all day , when I 'm longing to enjoy myself at home , ",1,15
Jo,Meg,Meg,Jo," I know I do -- teaching those tiresome childre n nearly all day , when I 'm longing to enjoy myself at home , "," You do n't have half such a hard time as I do , ",1,10
Beth,Jo,Jo,Beth," How would you like to be shut up for hours with a nervous , fussy old lady , who keeps you trotting , is never satisfied , and worries you till you you 're ready to fly out the window or cry ? "," It 's naughty to fret , but I do think washing di she s and keeping things tidy is the worst work in the world . It makes me cross , and my hands get so stiff , I ca n't practice well at all . ",3,1
Beth,Jo,Beth,Jo," for you do n't have to go to school with impertinent girls , who plague you if you do n't know your lessons , and laugh at your dresses , and label your father if he is n't rich , and insult you when your nose is n't nice . "," If you mean libel , I 'd say so , and not talk about labels , as if Papa was a pickle bottle , ",1,1
Amy,Jo,Jo,Amy," If you mean libel , I 'd say so , and not talk about labels , as if Papa was a pickle bottle , "," I know what I mean , and you need n't be statirical about it . It 's proper to use good words , and improve your vocabilary , ",2,6
Amy,Meg,Amy,Meg," I know what I mean , and you need n't be statirical about it . It 's proper to use good words , and improve your vocabilary , "," Do n't peck at one another , children . Do n't you wish we had the money Papa lost when we were little , Jo ? Dear me ! How happy and good we 'd be , if we had no worries ! ",4,7
Amy,Meg,Meg,Amy," You said the other day you thought we were a deal happier than the King children , for they were fighting and fretting all the time , in spite of their money . "," So I did , Beth . Well , I think we are . For t hough we do have to wo rk , we make fun of ourselves , and are a pretty jolly set , as Jo would say . ",3,1
Amy,Jo,Amy,Jo, Jo does use such slang words ! ," Do n't , Jo . It 's so boyish ! ",2,34
Amy,Jo,Jo,Amy," Do n't , Jo . It 's so boyish ! ", That 's why I do it . ,1,1
Amy,Jo,Amy,Jo," I detest rude , unladylike girls ! "," I hate affected , niminy - piminy chits ! ",1,1
Beth,Jo,Jo,Beth," I hate affected , niminy - piminy chits ! "," Birds in their little nests agree , ",1,1
Beth,Jo,Beth,Jo," Birds in their little nests agree , ", pecking ,1,23
Jo,Meg,Jo,Meg, pecking ," Really , girls , you are both to be blamed , ",1,6
Jo,Meg,Meg,Jo," You are old enough to leav e off boyish tricks , and to behave better , Josephine . It did n't matter so much when you we re a little girl , but now you are so tall , and turn up your hair , you should remember that you are a young lady . "," I 'm not ! And if turning up my hair makes me one , I 'll wear it in two tails till I 'm twenty , ",2,1
Beth,Jo,Jo,Beth," I hate to think I 've got to grow up , and be Miss March , and wear long gowns , and look as prim as a China Aster ! It 's bad enough to be a girl , anyway , when I like boy 's games and work and manners ! I ca n't get over my disappointment in not be ing a boy . And it 's worse than ever now , for I 'm dying to go and fight with Papa . And I can only stay home and knit , like a poky old woman ! "," Poor Jo ! It 's too bad , but it ca n't be helped . So you must try to be contented with making your name boyish , and playing brother to us girls , ",3,23
Beth,Meg,Beth,Meg," Poor Jo ! It 's too bad , but it ca n't be helped . So you must try to be contented with making your name boyish , and playing brother to us girls , "," As for you , Amy , ",1,30
Beth,Meg,Meg,Beth," you are altogether to particular and prim . Your airs are funny now , but you 'll grow up an affected li ttle goose , if you do n't take care . I I like your nice manners and refined ways of speaking , when you do n't try to be elegant . But your absurd words are as bad as Jo 's slang . "," If Jo is a tomboy and Amy a goose , what am I , please ? ",1,1
Beth,Meg,Beth,Meg," If Jo is a tomboy and Amy a goose , what am I , please ? "," You 're a dear , and nothing else , ",1,10
